序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
39,創新AI碩二,111C71179,漱扑菪,ojq1epfljk,7,4,8,0,9,6,1,1,4,2
40,資工一,112590429,仮糋佳,gzlkdlt0bi,5,5,6,7,7,4,2,0,3,7
41,資工一,112590150,蠜憕鍦,pi07xsnz36,8,6,3,3,8,6,4,6,1,0
42,電資AI碩二,111C52221,聼粮眙,oeksseycpr,7,6,8,2,3,0,5,9,6,3
43,資工四,109590396,娍疟郎,p4i9yq1oedg,8,9,6,0,3,3,9,3,5,7
44,電資AI碩二,111C52837,鵙醉沯,igpcfenf99,1,6,5,1,7,2,1,3,5,2
45,電資AI碩一,112C52331,筱錘筎,7iscpdx8lg,9,8,5,8,7,8,1,7,9,8
46,資工碩一,112598567,物蟪瞮,epxvpc19y4,1,6,5,5,0,3,1,4,5,7
47,電資AI碩一,112C52925,蝍了篇,ssli9ykij4,6,5,6,5,6,7,4,9,3,5
48,資工碩二,111598044,翗莚醔,l5qo1atf2n,2,9,3,1,3,1,2,9,8,7
49,資工二,111590243,临憊姗,6sawxqzryr,8,9,6,0,8,7,2,1,0,9
50,資工二,111590180,竍值衍,bdbnp186an,0,6,8,6,2,6,2,8,7,5
51,創新AI碩一,112C71860,錪筫嘗,0rb3txsrn6,1,5,0,1,3,8,0,9,8,0
52,創新AI碩二,111C71485,桱蔹侒,vo7nc6pztd,6,2,7,0,9,9,4,2,0,7
53,創新AI碩一,112C71893,童葁憦,xahc5cs9tuf,5,4,1,1,4,0,3,3,9,4
54,資工碩一,112598805,耂欲彡,mobvm1deec,3,8,4,8,9,3,3,9,2,8
55,電資AI碩一,112C52441,梖軋啍,xu8ode3ha3j,8,7,1,9,8,7,1,5,6,1
56,資工碩二,111598490,毦櫊鎡,w1s6smetij,4,9,4,1,7,3,0,2,2,4
57,電資資安碩二,111C53816,麤跽彥,61tf5rw2o9k,9,6,9,8,6,1,4,7,6,2
58,資工碩一,112598728,岬嫏巋,fu0rw9t9wg,6,4,3,8,7,3,7,9,3,2
59,資工碩二,111598862,蟽矧簨,nfbouozi4w,6,1,6,7,0,2,7,4,5,9
60,創新AI碩一,112C71743,罣錞慴,637szhcm3cl,7,2,1,8,6,7,8,6,5,2
61,資工碩一,112598035,傓崙嶬,ky6niso0wn,8,1,4,0,9,2,6,5,5,7
62,資工四,109590244,龼蘮峝,xio3b5ayr4,9,4,3,4,4,6,3,2,3,4
63,資工二,111590888,滕谿翻,m3lrb637cpj,6,9,7,8,6,4,0,5,3,2
64,電資資安碩二,111C53085,珡寍产,xazmr2hrpn,9,0,8,4,8,7,1,9,8,9
65,創新AI碩二,111C71743,硜瓙锶,r3ynvgd307,1,4,9,4,8,2,6,9,9,6
66,資工四,109590688,鈙惆磞,zrgkd8uk4p,9,4,5,5,8,7,5,6,1,0
67,資工二,111590654,閛驷篞,sg2t238sall,8,5,0,2,7,6,1,0,6,3
68,資工四,109590196,燚徻扚,m54covqvnz,7,5,5,5,7,3,9,3,2,5
69,創新AI碩一,112C71016,舾妦鿅,5x6jlofxow,7,4,0,9,1,5,6,8,4,3
70,資工碩一,112598908,徵璢庼,of0f93efp,0,8,2,4,9,3,6,7,9,9
71,創新AI碩二,111C71339,谧卧侺,5x9cdkvzwv,7,0,9,2,3,6,0,2,2,9
72,資工四,109590025,垬銭籩,c7e9agd45e,0,3,9,7,7,8,3,7,0,0
73,資工四,109590109,賵描苁,4ekwegkspw,5,0,6,7,3,6,2,7,8,2
74,創新AI碩一,112C71648,瘃憌喾,i8z2uholfm,4,3,3,8,5,3,9,4,5,9
75,資工碩二,111598482,廰怢梒,wev7yacpff,2,5,6,6,7,2,8,3,4,3
76,電資AI碩二,111C52677,竊祵习,im8sptw0ao,0,8,9,4,0,9,6,7,7,5
77,創新AI碩二,111C71879,誛村嫪,laj81vlyxy,7,5,9,6,0,2,8,9,9,6
78,資工二,111590795,铘萯棖,flvw1g38i2,2,3,6,5,3,3,0,4,9,5
79,電資AI碩二,111C52583,誙怓窿,eigwh3eujk,7,9,6,2,1,4,5,7,7,6
80,資工二,111590173,霯擊綧,hsny0i0vhw,2,0,7,9,0,6,0,0,7,7
81,資工碩一,112598314,峨髦頏,au72ty8nmj,1,6,5,0,6,2,6,2,4,5
82,電資資安碩二,111C53651,曓遄撱,5pt6rjb9ul,2,2,1,5,5,5,7,8,6,0
83,電資AI碩一,112C52573,挬琓昻,lgeqzdqso8,2,8,2,7,7,9,8,3,0,7
84,電資AI碩一,112C52639,釺駵鋜,2cwaqafsc5,8,6,3,7,0,0,9,3,7,9
85,資工二,111590288,扥蓲谨,9lzgkl6sqj,5,8,7,9,2,0,9,7,8,7
86,資工碩一,112598549,鹆齉伾,e50ykv583m,3,4,5,3,4,2,6,0,8,6
87,資工碩二,111598729,靆犮試,q18yansfld,6,4,0,2,6,0,8,1,5,9
88,電資資安碩二,111C53943,鷮鱾類,rjnvil4t7o,6,6,3,2,4,0,0,6,5,2
89,電資AI碩二,111C52988,簋頽垳,v0vl00brma,5,2,3,1,3,3,8,2,2,3
90,資工一,112590481,轒粘齆,25r9xs64pg,4,3,5,8,7,4,8,2,2,1
91,資工碩二,111598884,徂蘠芚,sjvb0l1afc,5,8,6,5,3,6,2,9,2,6
92,資工碩二,111598290,獱謸瞎,jvdbtffxcyf,0,9,3,8,1,2,4,7,0,9
93,電資AI碩一,112C52711,铆兗鴃,48eiqzef2v,7,8,1,3,1,7,6,4,4,1
94,資工碩一,112598396,湽阘檲,v8nv1588su,1,3,3,7,5,8,5,7,7,8
95,創新AI碩一,112C71524,躧関岔,04atvjwms8,9,8,3,9,1,2,1,1,8,8
96,資工三,110590845,網巧鄨,c0cyqgbum7,0,3,3,6,3,8,5,7,7,2
97,資工四,109590861,霚澆雥,vcyjp4uc25,7,5,7,2,4,6,4,2,6,1
98,電資資安碩二,111C53964,悓瞄舖,kekj2xgnld,2,4,8,5,2,1,4,1,6,2
99,創新AI碩一,112C71842,稍艨碮,mlo3o2rnap,3,4,9,1,0,4,8,1,2,3
100,資工三,110590760,鈻暙閧,7265nkx2so,0,1,9,9,0,8,1,3,5,2
101,資工碩二,111598492,瓧嵥蝙,trdapphb4e,9,3,1,9,7,0,8,2,7,7
102,電資資安碩二,111C53545,蝿皫氝,ebbgb4rj9v,2,8,4,6,4,4,7,0,8,9
103,電資資安碩二,111C53417,那杸魙,bqgap2wla5,3,6,9,9,6,4,5,9,3,3
104,電資AI碩一,112C52783,挳菊譔,lo7hr5olmfh,1,0,2,7,1,9,6,5,9,5
105,資工二,111590596,覆帮废,mbwmm889h2k,8,7,5,0,3,6,5,8,7,3
106,資工碩一,112598957,杨庚簤,ql1lk9qnty,4,5,9,6,5,2,8,2,7,7
107,資工一,112590286,颵鋴臶,8zr5p67rez,9,8,5,3,2,4,8,6,2,2
108,資工碩二,111598428,幀鐾谰,thrs6fpweq,1,6,3,1,1,3,6,2,3,4
109,資工二,111590155,賟朘鋨,nh7cpih574,6,9,7,0,8,3,6,9,8,7
110,資工二,111590246,艫冡刊,y0ljmf01fy,3,1,8,6,0,3,6,4,2,7
111,電資AI碩一,112C52932,牺恨愅,9d7zdklm9i,4,8,6,7,5,2,1,7,1,8
112,電資AI碩二,111C52076,腋卷掛,irhdc8mfll,3,2,1,4,3,2,3,4,7,8
113,資工碩一,112598622,造疼狮,tj6zvh005x,4,5,4,4,4,0,2,3,4,6
114,創新AI碩一,112C71130,墱顏璈,eodixoe01gi,6,6,6,9,1,5,4,8,2,6
115,電資資安碩二,111C53134,槙燭啄,pdtpxfv6obh,3,6,9,4,8,8,6,9,7,9
116,資工一,112590259,槁髳儖,nw5os37e7u,5,4,9,7,2,8,6,0,7,9
117,資工碩二,111598967,膘缣宸,7c79p3qhhb,5,7,9,2,1,3,5,7,4,8
118,電資資安碩二,111C53491,梒起榫,03kzjtkjfp,7,7,4,6,9,6,8,8,4,2
119,資工碩二,111598765,襯饡嗩,g1ty4uj863h,2,9,6,7,6,2,4,2,7,0
120,創新AI碩一,112C71765,宥髍頫,waeu47584h,9,3,5,0,6,9,4,3,7,8
